sports,body_spo
95,'ศึกฟุตบอล โตโยต้า ไทยลีก 2018 นัดเปิดฤดูกาล เมื่อวันที่ 11 กพ มีดวลแข้งอีก 4 คู่ 4 สนาม เริ่มกันที่เกมที่สนามเฉลิมพระเกียรติฯ 800 พรรษา จนครราชสีมา สวาทแคท นครราชสีมา มาสด้า เอฟซี พบกับ กระต่ายแก้ว บางกอกกล๊าส เอฟซี เจอกันปีที่แล้ว 2 นัด บางกอกกล๊าส เปิดบ้านชนะ 10 ก่อนที่ นครราชสีมา จะกลับมาชนะ 21 เกมนี้ทั้งสองทีมเล่นกันได้อย่างสนุกสูสี แต่เป็น สวาทแคท ที่มาได้ประตูชัยในครึ่งหลังจากการโหม่งของ เอกชัย ฤทธิพันธ์ กองกลางตัวสำรอง นาทีที่ 80 ช่วยให้เจ้าบ้านเอาชนะไป 10 เก็บ 3 แต้มเต็มเอาไว้ได้ที่สนามราชนาวี กม5 สัตหีบ ตะหานน้ำ ราชนาวี เอฟซี พบกับ เทพอินทรี อุบล ยูเอ็มที ยูไนเต็ด ปรากฎว่า ราชนาวี เอาชนะ อุบลฯ ที่เหลือ 10 คน ไป 10 จากประตูชัยของ ชุษณะ นัมคณิสร นาทีที่ 90 นัดนี้ วัชระ เกรียรัมย์ ของอุบลฯ โดนไล่ออกนาทีที่ 37ที่แพท สเตเดี้ยม สิงห์เจ้าท่า การท่าเรือ เอฟซี พบกับ โลมาน้ำเงิน พัทยา ยูไนเต็ด ก่อนเริ่มเกม เจ้าบ้านได้มีการแถลงข่าวเปิดตัวกันอย่างยิ่งใหญ่ ผลปรากฎว่า สิงห์เจ้าท่า ประเดิมซีซั่นใหม่สุดหรู ด้วยการถล่ม พัทยา ไป 30 จากประตูของ ดราแกน บอสโควิช นาทีที่ 45 เซร์จิโอ กุสตาโว ซัวเรซ นาทีที่ 74 และ บดินทร์ ผาลา นาทีที่ 89 เกมนี้ อี วอน ยัง ของทีมเยือน พลาดจุดโทษ นาทีที่ 57 เช่นเดียกวับ ดาวิด โรเชลา กัปตันทีมท่าเรือ พลาดจุดโทษ นาทีที่ 85 ทำให้ การท่าเรือ ประเดิมฤดูกาลด้วยการคว้า 3 แต้มเอาไว้ได้อย่างงดงามที่สามอ่าว สเตเดี้ยม ต่อพิฆาต พีที ประจวบ เอฟซี ทีมน้องใหม่ เปิดบ้านเอาชนะ มังกรโล่เงิน โปิลิศ เทโร เอฟซี 32 เจ้าถิ่นได้ประตูจาก อามร ธรรมนาม นาทีที่ 47 โจนาตาน เฟอร์ไรรา นาทีที่ 64 และ ลอนซานา ดุมบูยา ยิงจุดโทษ นาทีที่ 74 โดย เดชา สะอาดโฉม โดนไล่ออกนาทีที่ 62 ส่วน ทีมเยือน ได้จาก อ่อง ธู นาทีที่ 8 กับ มาร์กอส วินิเซียส นาทีที่ 61                                                                  5'
96,'การแข่งขันฟุตบอลกัลโช เซเรีย อา อิตาลี เมื่อวันอาทิตย์ที่ 11 กพ งูใหญ่ อินเตอร์ มิลาน เปิดบ้านเฉือนชนะ โบโลญญา ที่เหลือเก้าคนไปได้อย่างหวุดหวิด 21 เจ้าถิ่นได้ประตูจาก เอแดร์ นาทีที่ 2 ยานน์ คาราโมห์ นาที 63 ส่วนทีมเยือนได้ประตูจาก โรดริโก ปาลาซิโอ นาที 25 สำหรับ 2 ผู้เล่นที่ถูกไล่ออกของ โบโลญญา ได้แก่ อิบราฮิมา เอ็มบาเย นาที 68 และ อดัม มาซินา ช่วงทดเจ็บ ชัยชนะเกมนี้ทำให้ อินเตอร์ มิลาน เก็บเพิ่มเป็น 48 คะแนน จาก 24 นัด รั้งอันดับที่ 3 ของตาราง แต้มตามหลังจ่าฝูง นาโปลี ห่าง 15 คะแนน ส่วน โบโลญญา มี 27 คะแนนเท่าเดิมแข่งเท่ากัน รั้งอันดับที่ 16 ของตาราง ผลคู่อื่น คิเอโว แพ้ เจนัว 01 ซามพ์โดเรีย ชนะ เฮลลาส เวโรนา 20 โตริโน ชนะ อูดิเนเซ 20                                                                  5'
97,'การแข่งขันฟุตบอลพรีเมียร์ลีก อังกฤษ เมื่อวันอาทิตย์ที่ 11 กพ ผีแดง แมนฯ ยูไนเต็ด เจออาถรรพณ์ โฮเซ มูรินโญ กุนซือชาวโปรตุกีส ที่ไม่เคยคุมทีมบุกมาชนะที่เซนต์ เจมส์ ปาร์ค เลยในเกมลีก ทำให้พลาดท่าปราชัยต่อ สาลิกาดง นิวคาสเซิล 01 ผู้ยิงประตูชัยให้เจ้าถิ่น ได้แก่ แมตต์ ริตชี ในนาที 65 มูรินโญ เคยคุมทีมเชลซี มาลงเตะที่เซนต์ เจมส์ ปาร์ค นับสถิติตั้งแต่ปี 2004 ในพรีเมียร์ลีก 6 นัด เสมอ 3 แพ้ 3 ชนะไม่เป็นเลย เคยชนะแต่ในฟุตบอลถ้วยลีกคัพ และล่าสุด ก็นำ ผีแดง มาพบกับความพ่ายแพ้อีก ทำให้พวกเขามี 56 คะแนนเท่าเดิม จาก 27 นัด ยังรั้งรองจ่าฝูง แต่มีแต้มตามหลังจ่าฝูง แมนฯ ซิตี ห่าง 16 คะแนน โอกาสลุ้นแชมป์ริบหรี่ ทาง นิวคาสเซิล เก็บเพิ่มเป็น 28 คะแนนแข่งเท่ากัน ขยับขึ้นมารั้งอันดับ 13                                                                  5'
98,'การแข่งขันฟุตบอลลา ลีกา สเปน เมื่อวันอาทิตย์ที่ 11 กพ ทีมจ่าฝูง บาร์ซา บาร์เซโลนา เปิดสนามคัมป์ นู ทำได้แค่เจ๊าจืดชืดกับทีมรองบ่อน เคตาเฟ 00 ทั้ง ๆ ที่ส่ง 3 แนวรุกระดับพระกาฬอย่าง ลิโอเนล เมสซี หลุยส์ ซัวเรซ และ ฟิลิปเป คูตินโญ ลงเล่นทั้งหมด แต่จังหวะจบสกอร์ไม่คมเอง ทำให้ยิงไม่ได้ จึงต้องแบ่งแต้มกับทีมเยือนผลเสมอทำให้ บาร์เซโลนา เก็บเพิ่มเป็น 59 คะแนน จาก 23 นัด นำโด่งเป็นจ่าฝูง ทิ้งห่างอันดับ 2 แอตเลติโก มาดริด ห่าง 7 คะแนน ส่วน เคตาเฟ มีเพิ่มเป็น 30 คะแนนแข่งเท่ากัน อันดับอยู่ในโซนกลางตาราง                                                                  5'
99,'การแข่งขันฟุตบอลพรีเมียร์ลีก อังกฤษ คู่สุดท้ายของคืนวันอาทิตย์ที่ 11 กพ ที่ผ่านมา หงส์แดง ลิเวอร์พูล บุกไปไล่ต้อนเอาชนะ นักบุญ เซาแธมป์ตัน ได้สำเร็จ 20 จากประตูของ โรแบร์โต ฟีร์มิโน นาทีที่ 6 โมฮาเหม็ด ซาลาห์ นาที 42 ทำให้พวกเขาเก็บเพิ่มเป็น 54 คะแนน จาก 27 นัด ขยับแซง ไก่เดือยทอง ทอตแนม ฮอทสเปอร์ ขึ้นไปยึดอันดับ 3 แทน พร้อมมีแต้มตามหลังรองจ่าฝูง ผีแดง แมนฯ ยูไนเต็ด ห่างแค่ 2 คะแนนเท่านั้น แต่ตามหลังจ่าฝูง เรือใบสีฟ้า แมนฯ ซิตี ห่าง 18 คะแนน ด้าน เซาแธมป์ตัน มี 26 คะแนนเท่าเดิมแข่งเท่ากัน อยู่ในโซนตกชั้นอันดับ 18                                                                  5'
100,'การแข่งขันฟุตบอลบุนเดสลีกา เยอรมนี เมื่อวันอาทิตย์ที่ 11 กพ ที่ผ่านมา ม้าขาว สตุตการ์ต เปิดบ้านเฉือนคว้าชัยเหนือ สิงห์หนุ่ม โบรุสเซีย มึนเชนกลัดบัค 10 ได้ประตูชัยจาก ดาเนียล กินเชค ตั้งแต่ต้นเกมนาทีที่ 5ชัยชนะเกมนี้ทำให้ สตุตการ์ต เก็บเพิ่มเป็น 24 คะแนน จาก 22 นัด รั้งอันดับที่ 14 ของตาราง ส่วน กลัดบัค มี 31 คะแนนเท่าเดิมแข่งเท่ากัน รั้งอันดับที่ 10 ของตาราง                                                                  5'
101,'การแข่งขันเทนนิส เอทีพี ทัวร์ รายการ โอเพ่น ซุด เดอ ฟรองซ์ ที่มงต์เปลลิเยร์ ประเทศฝรั่งเศส เมื่อวันอาทิตย์ที่ 11 กพ ที่ผ่านมา ในประเภทชายเดี่ยวรอบชิงชนะเลิศ 2 นักหวดลูกสักหลาดเจ้าถิ่นโคจรมาพบกันเอง ผลปรากฏว่า ลูคัส ปวยเย ที่เป็นมือ 2 ของรายการ ไล่ทุบเอาชนะจอมเก๋า ริชาร์ด กาสเกต์ 2 เซตรวด 76 72 64 คว้าแชมป์ไปครองได้สำเร็จด้านการแข่งขันเทนนิส เอทีพี ทัวร์ รายการ เดียมา เอ็กซ์ตร้า โซเฟีย โอเพ่น ที่เมืองโซเฟีย ประเทศบัลแกเรีย ประเภทชายเดี่ยวรอบชิงชนะเลิศ เมียร์ซา บาซิค จากบอสเนียและเฮอร์เซโกวีนา คว้าชัยเหนือ มาริอุส โคพิล จากโรมาเนีย 21 เซต 76 86 67 47 64 ผงาดคว้าแชมป์ไปครอง                                                                  5'
102,'การแข่งขันฟุตบอลบุนเดสลีกา เยอรมนี เมื่อวันอาทิตย์ที่ผ่านมา นกนางนวล แวร์เดอร์ เบรเมน เปิดบ้านไล่จิก หมาป่าแห่งเมืองเบียร์ โวล์ฟสบวร์ก 31 เจ้าถิ่นได้ประตูจาก ลุดวิก ออกุสตินส์สัน นาทีที่ 4 ฟลอเรียน ไคนซ์ นาที 40 และ 72 ทางทีมเยือนตีไข่แตกได้จาก พอล เวอร์ฮากห์ นาที 49ชัยชนะเกมนี้ทำให้ เบรเมน เก็บเพิ่มเป็น 23 คะแนน จาก 22 นัด รั้งอันดับที่ 15 ของตาราง มีแต้มอยู่เหนือโซนตกชั้น 3 คะแนน ส่วน โวล์ฟสบวร์ก มี 24 คะแนนเท่าเดิมแข่งเท่ากัน รั้งอันดับที่ 13 ของตาราง                                                                  5'
103,'การแข่งขันฟุตบอลลา ลีกา สเปน คู่สุดท้ายของคืนวันอาทิตย์ที่ 11 กพ ที่ผ่านมา ค้างคาว บาเลนเซีย เปิดสนามเมสตาญา ไล่ต้อนเอาชนะ ค้างคาวน้อย เลบันเต 31 เจ้าถิ่นได้ประตูจาก ซานติ มีนา นาที 17 ลูเซียโน เวียตโต นาที 65 ดาเนียล ปาเรโญ นาที 90 จุดโทษ ทางทีมเยือนตีไข่แตกได้จาก เซร์คิโอ ปอสติโก นาที 18ชัยชนะเกมนี้ทำให้ บาเลนเซีย เก็บเพิ่มเป็น 43 คะแนน จาก 23 นัด รั้งอันดับที่ 3 ของตาราง มีแต้มตามหลังจ่าฝูง บาร์เซโลนา ห่าง 16 คะแนน ส่วน เลบันเต มี 25 คะแนนเท่าเดิมแข่งเท่ากัน รั้งอันดับที่ 17 ของตาราง มีแต้มอยู่เหนือโซนตกชั้นแค่ 2 คะแนนเท่านั้นผลคู่อื่น เซลตา บีโก เสมอ เอสปันญอล 22 บาร์เซโลนา เสมอ เกตาเฟ 00 เซบีญา ชนะ คิโรนา 10                                                                  5'
104,'การแข่งขันฟุตบอลกัลโช เซเรีย อา อิตาลี คู่สุดท้ายของคืนวันอาทิตย์ที่ 11 กพ ที่ผ่านมา นางพญาหมาป่า โรมา เปิดบ้านที่กรุงโรม ไล่ต้อนเอาชนะบ๊วย เบเนเวนโต สกอร์ขาดลอย 52 เจ้าถิ่นได้ประตูจาก เฟเดริโก ฟาซิโอ นาที 26 เอดิน เชโก นาที 59 เซนกิซ อันแดร์ นาที 62 และ 75 เกรกอยเร เดเฟรล นาที 90 จุดโทษ ทางทีมเยือนได้ประตูจาก กิลเฮอร์เม นาทีที่ 7 เอ็นริโก บริกโนลา นาที 76ชัยชนะเกมนี้ทำให้ โรมา เก็บเพิ่มเป็น 47 คะแนน จาก 24 นัด รั้งอันดับที่ 4 ของตาราง มีแต้มตามหลังจ่าฝูง นาโปลี ห่าง 16 คะแนน ส่วน เบเนเวนโต มี 7 คะแนนเท่าเดิมแข่งเท่ากัน รั้งบ๊วยของตารางต่อไป มีแต้มห่างโซนอยู่รอดปลอดภัยถึง 14 คะแนน โอกาสตกชั้นสูงลิบ                                                                  5'
105,'เออร์เนสโต บัลเบอร์เด กุนซือ เจ้าบุญทุ่ม บาร์เซโลนา โทษโปรแกรมชุกเป็นสาเหตุที่ทำให้ลูกทีมอ่อนล้าจนทำได้เพียงเปิดบ้านเสมอ เกตาเฟ 00 ในเกมลา ลีกา สเปน ทำให้ระยะห่างจาก ตราหมี แอตเลติโก มาดริด เหลือเพียง 7 แต้ม ขณะที่เหลือโปรแกรมอีก 15 นัดบาร์ซา ลงเล่นเกมที่ 12 ในรอบ 39 วัน ฝืดสนิทถึงขนาดยิงไม่เข้ากรอบเลยในครึ่งแรก หลังเกม บัลเบอร์เด กล่าวว่า เราขาดความสดชื่น และเล่นไม่ได้ตามจังหวะ โดยเฉพาะครึ่งแรก เกตาเฟ เป็ยนทีมที่คอยหยุดเกม ดังนั้นเราจึงไม่สามารถเข้าใกล้เขตโทษ ยิ่งเวลาผ่านไป เรายิ่งบุกมากขึ้นเรื่อยๆ แต่พวกเขาตั้งรับได้เหนียวแน่น เรามีเดือนที่ยุ่งมากและเพิ่งเข้าชิงโกปา เดล เรย์ เราไม่สามารถชนะทุกเกมหรือชนะได้ตลอดเวลา                                                                  5'
106,'เจอร์เกน คล็อปป์ กุนซือชาวเยอรมันของ หงส์แดง ลิเวอร์พูล ยกเป็นวันที่แทบสมบูรณ์แบบ หลังจากพาทีมบุกชนะ นักบุญ เซาแธมป์ตัน 20 ในเกมพรีเมียร์ลีก เมื่อวันอาทิตย์ที่ผ่านมา โดย โม ซาลาห์ ทำแอสซิสต์ให้ โรแบร์โต ฟีร์มิโน ยิงขึ้นนำตั้งแต่นาที 6 ก่อนที่ ซาลาห์ ยิงเองบ้างนาที 42 เป็นประตูที่ 29 จาก 36 นัด ทำให้ ลิเวอร์พูล มีเพิ่มเป็น 54 แต้ม ตามหลัง แมนฯ ยูไนเต็ด เหลือแค่ 2 แต้ม ส่วน นักบุญ อยู่ที่ 3 จากท้ายตาราง ห่างโซนตกชั้นแต้มเดียวเราอยากที่จะเล่นดีกว่านี้อีกนิด จังหวะเกมไม่ค่อยดีนัก มีทั้งเร็วเกินไปหรือช้าเกินไป เราทำประตูสวยๆ และน่ายิงได้มากกว่านี้ในครึ่งหลัง เราสมควรได้ 3 คะแนน ไม่เสียประตู และไม่มีใครบาดเจ็บ มันแทบสมบูรณ์แบบเลย คล็อปป์ กล่าวพร้อมชม เวอร์กิล ฟาน ไดค์ ที่ทำผลงานได้น่าประทับใจแม้โดนแฟนเจ้าถิ่นโห่ใส่แทบตลอดทั้งเกม และยังไม่ประมาทกับการจบ 4 อันดับแรก แม้นำหน้า อาร์เซนอล ที่ตามหลังห่าง 9 แต้ม                                                                  5'
107,'โฮเซ มูรินโญ ผู้จัดการทีม ผีแดง แมนเชสเตอร์ ยูไนเต็ด ชื่นชม สาลิกาดง นิวคาสเซิล สู้ถวายหัวเหมือนสัตว์ร้าย และต่อให้เตะเป็น 10 ชั่วโมงก็คงไม่สามารถส่งบอลไปกองก้นตาข่ายได้อยู่ดี หลังจากที่บุกไปโดน นิวคาสเซิล เฉือนชนะ 10 ซึ่งเป็นชัยชนะในบ้านของเกมลีกหนแรกนับแต่เดือนตค ที่ผ่านมาแมนฯ ยูไนเต็ด มีโอกาสมากมายหลายครั้ง โดยเฉพาะจาก อ็องโตนี มาร์กซิยาล อเล็กซิส ซานเชซ และ เจสซี ลินการ์ด มีสถิติยิง 13 ครั้ง ตรงกรอบ 6 ครั้ง แต่ไม่สามารถส่งบอลผ่านมือ มาร์ติน ดูบราฟกา และแนวรับเจ้าบ้านที่ช่วยยันอย่างเหนียวแน่น และเป็น แมตต์ ริชชี พังประตูชัยนาที 65 มีเพิ่มเป็น 28 แต้มอยู่ที่ 13 ส่วน เร้ด เดวิลส์ 54 แต้ม ตามหลังจ่าฝูง แมนฯ ซิตี 16 แต้มมูรินโญ ยังคงล้างอาถรรพ์ไม่สำเร็จ เมื่อไม่สามารถชนะที่เซนต์ เจมส์ ปาร์ค ในเกมพรีเมียร์ลีกจากความพยายาม 7 นัด กล่าวว่า พวกเขาสู้เหมือนสัตว์ร้าย ผมหมายถึงนี่เป็นคำชมนะ พวกเขาพยายามทุกอย่าง ชัดเจนว่าพระเจ้าของฟุตบอลอยู่ข้างพวกเขา ต่อให้เราอยู่ที่นี่ 10 ชั่วโมงก็คงยิงประตูไม่ได้ พวกเขาได้ประตูจากความผิดพลาดของเกมรับ พวกเขาสู้เพื่อคะแนน และเมื่ออยู่หน้าประตู พวกเขาพยายามด้วยชีวิตเพื่อไม่ให้เสียประตู มันเป็นความสวยงามของชัยชนะในเกมฟุตบอล นอกจากนั้น มูรินโญ เผยว่าสาเหตุที่เปลี่ยน ปอล ป็อกบา ออกในครึ่งหลังไม่ใช่เพราะอาการบาดเจ็บแต่เป็นเรื่องของแท็คติก                                                                  5'
108,'ศึกกอล์ฟพีจีเอ ทัวร์ รายการ เอทีแอนด์ที เพบเบิล บีช โปรแอม ชิงเงินรางวัลรวม 74 ล้านดอลลาร์สหรัฐฯ ราว 252 ล้านบาท ที่สนามเพบเบิล บีช กอล์ฟ ลิงค์ส พาร์ 72 มอนเตอร์เรย์ เพนินซูลา พาร์ 71 และ สปายแกลส ฮิลล์ พาร์ 72 ในเมืองเพบเบิล บีช แคลิฟอร์เนีย สหรัฐอเมริกา หลังจบรอบสุดท้าย เท็ด พ็อตเตอร์ จูเนียร์ โปรชาวอเมริกัน วัย 34 ปี ที่ก่อนหน้านี้เคยได้แชมป์พีจีเอ ทัวร์ ได้แค่ครั้งเดียวเมื่อปี 2012 ทำเพิ่มอีก 3 อันเดอร์พาร์ 69 สกอร์รวม 17 อันเดอร์พาร์ 270 คว้าแชมป์ไปครองได้สำเร็จ เอาชนะอันดับ 2 ร่วมที่มี 4 คนห่าง 3 สโตรก ได้แก่ ดัสติน จอห์นสัน มือ 1 โลก เชซ เรวีย์ ฟิล มิคเคลสัน จากสหรัฐทั้งหมด และ เจสัน เดย์ อดีตมือ 1 โลกจากออสเตรเลียผลงานคนอื่นที่น่าสนใจ จอร์แดน สปีธ มือ 3 โลกชาวอเมริกัน สกอร์รวม 8 อันเดอร์พาร์ 279 ที่ 20 ร่วมกับ แบรนด์ สนีดีเกอร์ เพื่อนร่วมชาติและเบรนแดน เกรซ จากแอฟริกาใต้ จอน ราห์ม มือ 2 โลกชาวสเปน 7 อันเดอร์พาร์ 280 ที่ 26 ร่วม และ บั๊บบา วัตสัน 6 อันเดอร์พาร์ 281 ที่ 35 ร่วม                                                                  5'
109,'ตอง กวินทร์ ธรรมสัจจานันท์ ผู้รักษาประตูทีมชาติไทย ที่ไปค้าแข้งกับ โอเอช ลูเวิน ทีมในลีกรอง เบลเยียม หรือ พรอกซิมัสลีก ถูกใส่ชื่ออยู่ในทีมชุดใหญ่เป็นครั้งแรก ในเกมลีกที่ ลูเวิน บุกไปชนะ เค ลีร์เซ 10 เมื่อ 11 กพ 61 ที่ผ่านมาผลนัดนี้ ทำให้ ลูเวิน ยังอยู่ที่ 3 ตามหลัง ลีร์เซ 2 แต้ม และตามจ่าฝูง เซอร์เคิล บรูกก์ 6 แต้มอดีตนายทวารเอสซีจี เมืองทอง ยูไนเต็ด เคยได้ลงเฝ้าเสาเกมลีกสำรอง เมื่อปลายเดือนที่แล้ว ที่เปิดบ้านชนะ เซอร์เคิล บรูกก์ ทีมสำรอง 30 จนกระทั่งล่าสุด เมื่อคืนที่ผ่านมา ไนเจล เพียร์สัน นายใหญ่ลูเวิน ตัดสินใจส่งชื่อ กวินทร์ อยู่ในรายชื่อสำรอง ที่บุกชนะ ลีร์เซ ทว่านัดนี้ เจ้าตอง ยังไม่ได้โอกาสลงสนาม เพียงแค่ลงวอร์มกับเพื่อนร่วมทีม และนั่งในซุ้มม้านั่งสำรอง เพื่อศึกษาเกมกวินทร์ กล่าวว่า ดีใจที่ทีมส่งชื่อลงเล่นทีมชุดใหญ่เป็นหนแรก แม้จะไม่ได้รับโอกาสลงสนามก็ตาม ถือว่าได้ขยับเข้าใกล้การลงเล่นกับทีมชุดใหญ่มากขึ้น แต่ไม่อยากกดดันตัวเอง ขอมุ่งมั่นกับการซ้อมให้ดีที่สุดเพื่อพัฒนาให้ดีกว่าที่เป็นอยู่ รอวันได้รับโอกาสลงสนาม หากวันนั้นมาถึง ตนก็พร้อมแน่นอนเรื่องความสัมพันธ์กับเพื่อนร่วมทีมก็ดีขึ้นมากหลังจากมาที่เบลเยี่ยม ครบ 1 เดือนเรื่องของสภาพอากาศที่หนาวเย็นบางวันถึงขนาดติดลบ ก็เริ่มปรับตัวได้บ้างแล้วแม้จะไม่ใช่ความคุ้นชินของนักเตะที่ไปจากเมืองร้อนก็ตามสำหรับ เจ้าตอง จะได้ลงโชว์ฝืมือให้ ไนเจล เพียร์สันได้เห็นอีกครั้งในเกมลีกสำรองที่ โอเอช ลูเวิน จะเปิดบ้านพบกับ เอฟซี โอ เบียร์ชอต วิลไรจ์ค ในคืนวันจันทร์ที่ 12 มค 61 นี้เวลาท้องถิ่น 2000 น ตรงกับเวลาไทย 0200 น ของวันอังคารที่ 13 มค 61 โดยนัดนี้จะเป็นเกมที่ 2 ที่ เจ้าตอง จะได้ลงสนามอีกด้วย  5'
110,'นายวิทยา เลาหกุล ประธานฝ่ายพัฒนาเทคนิค สมาคมกีฬาฟุตบอลแห่งประเทศไทย ให้สัมภาษณ์ผู้สื่อข่าวเดลินิวส์ว่า จากนัดเปิดสนามโตโยต้า ไทยลีก 2018 มิโลวาน ราเยวัช กุนซือทีมช้างศึก ได้ชมเกมต่างๆ ขณะเดียวกันตนก็ได้ดูฟอร์มของหลายๆคน โดยเชื่อว่า ราเยวัช จะดึงนักเตะดาวรุ่งเข้ามาเสริมทัพ สำหรับศึกฟุตบอลชิงถ้วยพระราชทาน คิงสคัพ ในวันที่ 23 กับ 25 มีคนี้ ซึ่งสัปดาห์แรก มีคนตนคิดว่าเล่นเข้าตาหลายคน อย่างเช่น 2 ผู้เล่นใหม่ เอสซีจี เมืองทอง ยูไนเต็ด กัมพล ปฐมอรรฆ์กุล นายทวาร และ เจนรบ สำเภาดี ที่ลงมายิงคนเดียว 3 ลูก พาต้นสังกัดแซงชนะ ทรู แบงค็อก ยูไนเต็ด 32 มีโอกาสสูงมากที่ ราเยวัช จะเรียกติดทีมชุดใหญ่ขณะเดียวกัน เจนรบ กล่าวถึงผลงานทำแฮตทริกว่า ตนฝึกซ้อมอย่างหนัก ที่สำคัญคือได้รุ่นพี่ในทีมป้อนบอลให้ ตอนแรกก็กดดัน พอทำประตูได้ ก็รู้สึกได้ปลดปล่อย และจะพยายามทำผลงานกับสโมสรให้ดีที่สุด เพื่อมีชื่อติดทีมชาติไทยชุดใหญ่ในการแข่งขันฟุตบอลคิงสคัพ ที่ตนยังไม่เคยลงแข่งรายการนี้เลย                                                                  5'
111,'โค้ชเฮง วิทยา เลาหกุล ประธานฝ่ายพัฒนาเทคนิค สมาคมกีฬาฟุตบอลแห่งประเทศไทย ให้สัมภาษณ์ผู้สื่อข่าวเดลินิวส์ว่า ตนได้เชิญเฮดโค้ชทีมเยาวชนทีมชาติไทย ทุกชุด ที่ได้รับการแต่งตั้งคุมทัพช้างศึก มาสัมมนา เพื่อมอบนโยบายการคุมทีม ในแนวทาง ไทยแลนด์เวย์ แล้ว เพื่อให้การกำหนดทิศทางระบบทีมชาติไทย เป็นไปในแนวทางเดียวกันประธานเทคนิคบอลไทย ให้สัมภาษณ์ต่อไปว่า สำหรับเฮดโค้ชทีมชาย ได้ข้อสรุปแล้วก็คือ ทีมอายุไม่เกิน 21 ปี โค้ชโย่ง วรวุธ ศรีมะฆะ ชุดอายุไม่เกิน 19 ปี โค้ชหระ อิสระ ศรีทะโร จาก บุรีรัมย์ ยูไนเต็ด ตามที่เคยเสนอข่าวไปแล้ว ส่วนทีมชุดอายุไม่เกิน 16 ปี ใช้โค้ชคู่ คือ โค้ชดาร์ต ธงชัย รุ่งเรืองเลิศ ที่ทำอะคาเดมี่ บางกอกกล๊าส เอฟซี และ โค้ชวุฒิ สราวุฒิ สุขแสวง ที่เคยทำทีมเยาวชนบุรีรัมย์ ยูไนเต็ด                                                                  5'
