foreign,body_fore
309,'สำนักข่าวเอเอฟพีรายงานจากกรุงจาการ์ตา ประเทศอินโดนีเซีย เมื่อวันที่ 18 กพ ว่า นายโตต๊อก ซูกิฮาร์โต โฆษกกระทรวงกลชาโหมอินโดนีเซีย เผยว่า ข้อตกลง ที่ลงนามโดยผู้แทนของ 2 ประเทศ ในกรุงจาการ์ตา เมื่อวันพุธ 14 กพ รวมมูลค่า 1140 ล้านดอลลาร์สหรัฐ 35507 ล้านบาท โดยเครื่องบิน 2 ลำแรกจะส่งมอบในเดือน สค 2561 อีก 6 ลำส่งมอบภายใน 18 เดือน หลังสัญญามีผลบังคับ และ 3 ลำสุดท้ายจะส่งมอบใน 5 เดือนหลังจากนั้น ความตกลงมีขึ้นหลังจากรัฐบาลอินโดนีเซียเผยในเดือน สค ปีที่แล้วว่า จะหาแนวทางใช้สินค้าโภคภัณฑ์ ประกอบด้วย น้ำมันปาล์ม กาแฟ และชา แลกกับเครื่องบินรบของรัสเซีย โดยทางการจาการ์ตาต้องการฉวยโอกาส ขณะที่รัสเซียกำลังถูกกลุ่มประเทศตะวันตกคว่ำบาตร สหภาพยุโรป อียู กลุ่มความร่วมมือ 28 ประเทศ และสหรัฐ กำหนดมาตรการคว่ำบาตรรัสเซีย ตามข้อกล่าวหาแทรกแซงการเลือกตั้งประธานาธิบดีสหรัฐอเมริกา 2016 และการผนวกดินแดนคาบสมุทรไครเมียของยูเครน อย่างไรก็ตาม รัฐมนตรีพานิชย์อินโดนีเซียกล่าวว่า การคว่ำบาตรของตะวันตกถือเป็นข่าวดีสำหรับอินโดนีเซีย เนื่องจากรัสเซียจำเป็นต้องหาตลาดใหม่ ในการนำเข้าสินค้าโภคภัณฑ์หลายชนิด อินโดนีเซียและรัสเซียลงนามในบันทึกความเข้าใจ เอ็มโอยู เพื่อแลกเปลี่ยนเครื่องบินรบซูคอย 11 ลำของรัสเซีย กับสินค้าโภคภัณฑ์สำคัญ ที่กรุงมอสโก เมื่อต้นเดือน สค การแถลงของโฆษกกระทรวงกลาโหมอินโดนีเซียเมื่อวันเสาร์ ไม่มีการเปิดเผยว่า การสั่งซื้อเครื่องบินรบ ซู35 ฝูงนี้จะชำระในรูปแบบใดคลิปประกอบ  RTFacts Box                                                                  5'
310,'สำนักข่าวเอเอฟพีรายงานจากเมืองอัจเมอร์ ประเทศอินเดีย เมื่อวันที่ 18 กพ ว่า ถังแก๊สหุงต้มระเบิดเมื่อคืนวันศุกร์ 16 กพ ที่โรงแรมแห่งหนึ่งในเมืองเบียวาร รัฐราชาสถาน ทางภาคตะวันตกของอินเดีย ขณะที่กำลังมีการจัดงานเลี้ยงฉลองสมรส ในห้องหนึ่งของโรงแรมขนาด 3 ชั้น แรงระเบิดทำให้อาคารไฟไหม้และพังถล่ม เมื่อวันเสาร์หน่วยกู้ภัยพบผู้เสียชีวิตจากใต้ซากอาคาร 9 ราย ผู้บาดเจ็บ 5 รายอาการสาหัส ถูกนำส่งโรงพยาบาล และเมื่อวันอาทิตย์พบผู้เสียชีวิตเพิ่มอีก 9 ราย ผู้รอดชีวิตในเหตุการณ์หลายคน เผยต่อผู้สื่อข่าวสถานีโทรทัศน์เอ็นดีทีวีว่า การระเบิดเกิดขึ้นขณะที่พ่อครัวของห้องอาหารในโรงแรมพยายามเติมแก๊สใส่ถัง นายวสุนทารา ราเจ มุขมนตรีรัฐราชาสถาน กล่าวในระหว่างเยี่ยมอาการผู้ได้รับบาดเจ็บ ที่โรงพยาบาล เมื่อคืนวันเสาร์ ว่า ทางการจะจ่ายเงินชดเชยให้ครอบครัวของผู้เสียชีวิต รายละ 200000 รูปี ประมาณ 96740 บาท                                                                  5'
311,'สำนักข่าวเอเอฟพีรายงานจากเมืองอัครา ประเทศอินเดีย เมื่อวันที่ 18 กพ ว่า ทรูโด พร้อมด้วยนางเกรกัวร์ ภริยา และบุตรทั้ง 3 คน ถ่ายภาพเป็นที่ระลึกหน้าอนุสรณ์สถานหินอ่อนสีขาวงาช้าง ในเมืองอัครา รัฐอุตตรประเทศ ที่ซึ่งบรรดาผู้นำต่างชาติมักไปเยี่ยมชม ในระหว่างการเดินทางเยือนอินเดีย นับเป็นการเยือนอินเดียเป็นครั้งแรกของทรูโด ตั้งแต่เข้ารับตำแหน่งในปี พศ 2558 เขาจะพบปะกับนายนเรนทรา โมดี นายกรัฐมนตรีอินเดีย โดยการขยายการค้าจะเป็นประเด็นหลักของการหารือ รวมถึงด้านพลังงาน การศึกษา และสาธารณูปโภค ก่อนออกเดินทางทรูโดทวีตข้อความว่า กำลังออกเดินทางไปอินเดีย และมีหมายกำหนดการเต็มตลอดการเยือน การหารือจะเน้นทางด้านการสร้างงานที่ดี และกระชับการเชื่อมต่อให้ลึกซึ้ง ระหว่างประชาชนของทั้ง 2 ประเทศ มูลค่าการค้าระหว่างแคนาดากับอินเดีย เพิ่มขึ้นเป็น 2 เท่าในช่วงทศวรรษล่าสุด สู่ระดับกว่า 8000 ล้านดอลลาร์สหรัฐ ในปี พศ 2559 แคนาดามีชาวอินเดียอาศัยอยู่ในประเทศกว่า 12 ล้านคน หรือกว่า 3 % ของประชากรทั้งประเทศ และการเยือนอินเดียของทรูโดในครั้งนี้ มีรัฐมนตรีคนเชื้อสายอินเดียศาสนาซิกห์ ร่วมเดินทางมาด้วย                                                                  5'
312,'สำนักข่าวเอเอฟพีรายงานจากกรุงริยาด ประเทศซาอุดีอาระเบีย เมื่อวันที่ 18 กพ ว่า การเปลี่ยนแปลงนโยบายล่าสุด ซึ่งประกาศโดยรัฐบาลซาอุดีอาระเบียเมื่อวันพฤหัสบดี 15 กพ ยังเป็นก้างย่างครั้งสำคัญออกจากระบบผู้ปกครอง guardianship system ที่เคร่งครัด และใช้ปกครองประเทศมานานหลายทศวรรษ แถลงการณ์ทางเว็บไซต์ของกระทรวงพานิชย์และการลงทุนซาอุดีอาระเบีย นับจากนี้ผู้หญิงสามารถเปิดธุรกิจได้ด้วยตนเอง และได้ประโยชน์จากบริการอิเล็กทรอนิกส์ของรัฐบาล โดยไม่ต้องพิสูจน์การได้รับความยินยอมจากผู้ปกครอง ภายใต้ระบบผู้ปกครองของซาอุฯ ผู้หญิงต้องแสดงให้เจ้าหน้าที่เห็นว่าได้รับความยินยอมจากผู้ปกครองที่เป็นผุ้ชาย ซึ่งตามปกติจะเป็นสามี พ่อ พี่ชายหรือน้องชาย ก่อนการติดต่องานราชการ การเดินทาง หรือเข้าเรียนในสถานศึกษาใดๆ หลังจากต้องพึ่งพารายได้ทางเศรษฐกิจจากผลผลิตน้ำมันดิบมานาน ซาอุดีอาระเบียกำลังผลักดันเพื่อขยายภาคเอกชนของประเทศ รวมถึงการขยายการจ้างงานสตรี ภายใต้แผนการปฏิรูป ในยุคที่น้ำมันกำลังจะหมดความสำคัญ ขณะที่ผู้หญิงยังเผชิญกับข้อจำกัดจำนวนมาก สำนักงานอัยการซาอุดีอาระบียประกาศในเดือนนี้ว่า จะรับสมัครเจ้าหน้าที่สอบสวนที่เป็นผู้หญิงเป็นครั้งแรก นอกจากนั้นทางการยังประกาศรับสมัคร 140 ตำแหน่ง สำหรับผู้หญิงที่ต้องการทำงานที่ท่าอากาศยาน และด่านข้ามแดนทางบก ซึ่งรายงานระบุว่าจนถึงขณะนี้มีผู้หญิงยื่นใบสมัครล้รนหลามถึง 107000 คนคลิปประกอบ  IBTimes UK                                                                  5'
313,'สำนักข่าวรอยเตอร์รายงานจากกรุงลอนดอน ประเทศอังกฤษ เมื่อวันที่ 18 กพ ว่า ค่าเล่าเรียนระดับมหาวิทยาลัยในอังกฤษค่อนข้างสูง เมื่อเทียบกับประเทศอื่นๆ ในยุโรป คืออยู่ที่ประมาณ 9000 ปอนด์ 393240 บาท ต่อปี และพรรคแรงงาน ฝ่ายค้านหลักของอังกฤษ ได้รับเสียงสนับสนุนจากบรรดานักศึกษา ในการเลือกตั้งเมื่อปีที่แล้ว จากการประกาศจะยกเลิกการเก็บค่าเล่าเรียนในอนาคต ไฮน์สกล่าวปกป้องการเก็บค่าเล่าเรียนโดยหลักการ โดยกล่าวว่าต้องแยกค่าใช้จ่ายในการศึกษาระดับมหาวิทยาลัย ระหว่างเงินภาษีกับเงินของนักศึกษา แต่เขาต้องการเห็นความหลากหลายมากขึ้น ในแนวทางอุดหนุนการเรียนในระดับอุดมศึกษา หนังสือพิมพ์ซันเดย์ ไทม์ส รายงานว่า รัฐบาลอังกฤษคาดหวังจะได้เห็นการลดค่าหน่วยกิต ในสาขาวิชาสังคมศาสตร์ และศิลปศาสตร์ ซึ่งมหาวิทยาลัยต่างๆ มีค่าใช้จ่ายน้อยกว่าในการเตรียมการสอน ไฮน์ส เผยต่อซันเดย์ ไทม์ส ว่า เกือบทุกสถาบันเก็บค่าหน่วยกิตในอัตราสูงสุดเหมือนกัน ในเกือบทุกสาขาวิชา ซึ่งเขาต้องการเห็นทาทงเลือกด้านราคามากกว่านี้ เนื่องจากบางสาขาได้รับค่าตอบแทนสูงกว่าสาขาอื่นๆ เมื่อทำงานหลังจบการศึกษาไปแล้ว ไฮน์สกล่าวอีกว่า การทบทวนงบประมาณอุดหนุนอุดมศึกษา ซึ่งจะเริ่มตั้งแต่วันจันทร์ ยังจะมีการพิจารณาความเหมาะสมของอัตราดอกเบี้ย เงินกู้ยืมที่นักศึกษานำไปเป็นค่าหน่วยกิตและค่าครองชีพด้วยคลิปประกอบ British Council Polska  5'
314,'สำนักข่าวรอยเตอร์รายงานจากเมืองมิวนิค ประเทศเยอรมนี เมื่อวันที่ 18 กพ ว่า นายโมฮัมหมัด จาวัด ซารีฟ รัฐมนตรีต่างประเทศอิหร่าน กล่าวต่อที่ประชุมความมั่นคงมิวนิค เอ็มเอสซี ว่า อิสราเอลใช้การรุกรานเป็นนโยบายต่อต้านกลุ่มประเทศเพื่อนบ้าน ตอบโต้ทางทหารแบบเหมารวม และบุกรุกโจมตีรายวันในซีเรียและเลบานอน เมื่อชาวซีเรียมีความกล้ายิงสอยเครื่องบินลำหนึ่งของอิสราเอล ดูเหมือนว่าความหายนะได้เกิดขึ้นแล้ว คำพูดของซารีฟเป็นการตอบโต้การปราศรัยในที่ประชุมเดียวกันของนายกรัฐมนตรีเบนจามิน เนทันยาฮู ของอิสราเอล เมื่อไม่กี่ชั่วโมงก่อนหน้า ซึ่งตอนหนึ่งเนทันยาฮูได้นำชิ้นส่วนโดรนของอิหร่านออกมาแสดง และกล่าวหาอิหร่านกำลังพยายามสร้าง อาณาจักร ครอบคลุมทั่วตะวันออกกลาง ซารีฟ กล่าวอีกว่า สิ่งที่เกิดขึ้นเมื่อหลายวันก่อนทำให้เห็นว่า ความอยู่ยงของอิสราเอลถูกทลายลงแล้ว ซารีฟหมายถึงการยิงเครื่องบินรบแบบ เอฟ16 ของอิสราเอลตก เมื่อวันที่ 10 กพ เดวิด ไอวรี อดีตผู้บัญชาการกองทัพอากาศอิสราเอล เผยต่อสำนักข่าวรอยเตอร์ช่วงต้นเดือนนี้ ว่า เขาเชื่อว่าเป็นครั้งแรกที่เครื่องบินรบ เอฟ16 ของอิสราเอลถูกยิงตก นับตั้งแต่อิสราเอลเริ่มใช้งานเครื่องบินรุ่นนี้ ในคริสต์ทศวรรษ 1980 หน่วยต่อต้านอากาศยานของซีเรีย ยิงเครื่องบิน เอฟ16 ของอิสราเอลลำหนึ่งตก ขณะบินกลับจากการโจมตีทางอากาศต่อเป้าหมายทางทหาร 12 แห่งของอิหร่านในซีเรีย เครื่องบินลบำนี้เป็นหนึ่งในอย่างน้อย 8 ลำ ที่ถูกส่งข้ามแดนไปปฏิบัติการตอบโต้ สิ่งที่อิสราเอลเรียกว่า การรุกล้ำเข้าสู่น่านฟ้าอิสราเอลของโดรนอิหร่าน ในช่วงเช้าของวันที่ 10 กพ จากการแถลงของกองทัพอิสราเอล เครื่องบินเอฟ16 ลำดังกล่าวถูกยิงด้วยจรวดต่อต้านอากาศยาน และตกลงทางตอนเหนือของอิสราเอล โดยนักบินประจำเครื่อง 2 คนดีดตัวออกจากเครื่อง คนหนึ่งบาดเจ็บสาหัส ส่วนอีกคนบาดเจ็บเล็กน้อยภาพ  AP AFPคลิปประกอบ  World Military Power                                                                  5'
315,'สำนักข่าวต่างประเทศรายงานจากกรุงปักกิ่ง ประเทศจีน เมื่อวันที่ 19 กพเกี่ยวกับความคืบหน้าลังเกิดเพลิงโหมกระหน่ำลุกไหม้บริเวณวัดโจคัง หนึ่งในศาสนสถานศักดิ์สิทธิ์และเป็นที่เคารพอย่างสูงสุดของชาวทิเบต ตั้งอยู่ในเมืองลาซา เมืองเอกของเขตปกครองตนเองทิเบต ที่อยู่ทางตะวันตกเฉียงใต้ของจีน เมื่อคืนวันเสาร์ที่ผ่านมาตามเวลาท้องถิ่นนั้น สำนักข่าวซินหัวและทิเบต เดลี ซึ่งเป็นสื่อของรัฐบาลปักกิ่ง รายงานว่าเจ้าหน้าที่สามารถควบคุมสถานการณ์ได้ภายในเวลาอันรวดเร็ว และเปลวเพลิงสร้างความเสียหายให้ตัวอาราม เพียงบางส่วนDevastating news from Lhasa of the Jokhang temple on fire pictwittercomLXiIlvc7V5— Robert Barnett @RobbieBarnett February 17 2018The #Jokhang Temple in #Lhasa #Tibet is reported to be on fire This is tragic news pictwittercom4a6MxKnPjN— sudhakar @naidusudhakar February 17 2018รายงานระบุต่อไปว่า ไม่มีผู้เสียชีวิตจากเหตุการณ์ดังกล่าว และเจ้าหน้าที่กลับมาเปิดเส้นทางการจราจรบนถนนบาคอร์ ซึ่งเป็นชุมชนดั้งเดิมและเป็นย่านการค้าเก่าแก่ในพื้นที่แล้ว เนื่องจาก สถานการณ์กลับคืนสู่สภาวะปกติ โดยไม่มีการเผิดเผยข้อมูลอื่นใดเพิ่มเติมอีก ขณะที่มีรายงานด้วยว่าผู้สื่อข่าวต่างชาติ และกลุ่มชาวทิเบตในต่างประเทศพยายามโพสต์ภาพและคลิปการเกิดเพลิงไหม้ที่วัดโจคังบนเครือข่ายสังคมออนไลน์ ซึ่งแสดงให้เห็นว่าสถานการณ์ที่เกิดขึ้นนั้น สวนทาง กับรายงานของทางการ ก่อนที่ภาพและคลิปทั้งหมดถูกปิดกั้นในจีนอย่างรวดเร็วตามความคาดหมายทั้งนี้ ในอดีตวัดโจคังถือเป็นศูนย์กลางของการชุมนุมประท้วงต่อต้านรัฐบาลปักกิ่ง ได้รับการก่อสร้างในรัชสมัยของพระเจ้าซงเซน กัมโป เมื่อปีพศ1190 เพื่อให้เป็นสถานที่ประดิษฐานของพระอักโษภยพุทธะ องค์การการศึกษา วิทยาศาสตร์ และวัฒนธรรมแห่งสหประชาชาติ  ยูเนสโก  ขึ้นทะเบียนวัดโจคังให้เป็นมรดกโลกทางวัฒนธรรม เมื่อปี 2537                                                                  5'
316,'สำนักข่าวต่างประเทศรายงานจากกรุงเทลอาวีฟ ประเทศอิสราเอล เมื่อวันที่ 19 กพว่าสำนักงานตำรวจกรุงเทลอาวีฟเปิดเผยเมื่อวันอาทิตย์ ว่ากำลังเร่งดำเนินการสืบสวนกรณีมีผู้นำสีสเปรย์มาพ่นที่ประตูลูกกรงบริเวณทางเข้าสถานเอกอัครราชทูตโปแลนด์ประจำกรุงเทลอาวีฟ เป็นรูปสวัสติกะ หรือกากบาทปลายหักที่เป็นตราสัญลักษณ์ของพรรคนาซี และข้อความภาษาอังกฤษที่แปลว่า ฆาตกร#Israel police have opened an investigation after entrance to @PLinIsrael embassy in #TelAviv was vandalized with swastikas and other derogatory terms pictwittercomxZ1Ajqqe3G— Anna Ahronheim @AAhronheim February 18 2018เหตุการณ์ดังกล่าวเกิดขึ้นท่ามกลางความขัดแย้งทางการทูตระหว่างสองประเทศ จากกรณีที่รัฐสภาในกรุงวอร์ซอออกกฎหมายเมื่อปลายเดือนที่แล้ว ว่าโปแลนด์ไม่มีส่วนเกี่ยวข้องกับเหตุการณ์ฆ่าล้างเผ่าพันธุ์ชาวยิวในช่วงสงครามโลกครั้งที่สอง และบุคคลใดก็ตามที่พาดพิงโปแลนด์เกี่ยวกับเรื่องนี้ถือว่ามีความผิดอาญาร้ายแรง สร้างความไม่พอใจอย่างหนักให้แก่อิสราเอล ที่ยังคงกล่าวงหาโปแลนด์อย่างต่อเนื่องว่า เจตนาบิดเบือนประวัติศาสตร์นายมาเตอุซ โมราวีกกี นายกรัฐมนตรีโปแลนด์นายเบนจามิน เนทันยาฮู นายกรัฐมนตรีอิสราเอลขณะที่ผู้สื่อข่าวอิสราเอลคนหนึ่งซักถามนายกรัฐมนตรี มาเตอุซ โมราวีกกี ระหว่างเข้าร่วมการประชุมความมั่นคงมิวนิก  เอ็มเอสซี  เมื่อช่วงสุดสัปดาห์ที่ผ่านมา ว่าเขาจะถูกลงโทษตามกฎหมายใหม่นี้หรือไม่ หากเผยแพร่ข้อมูลในอิสราเอลว่ามารดาของเขาซึ่งเป็นหนึ่งในผู้รอดชีวิตจากการฆ่าล้างเผ่าพันธุ์ ถ่ายทอดเรื่องราวว่ามีชาวโปแลนด์หลายคนร่วมมือกับเกสตาโป หรือตำรวจลับของนาซี ผู้นำโปแลนด์ตอบว่า มีผู้กระทำผิดชาวยิว เกี่ยวข้องกับการฆ่าล้างเผ่าพันธุ์ครั้งนั้นเช่นกัน และการกระทำลักษณะนี้ เป็นความผิดเทียบเท่ากัน แต่กล่าวว่าโปแลนด์จะหารือเรื่องนี้โดยตรงกับอิสราเอลSlythis period also exposed dark parts of human nature which for some meant collaboration with German Nazis Dialogue on these difficult chapters of our history is essential—a dialogue we hope to continue w Israel Today I spoke about this with Prime Minister @netanyahu 22— Mateusz Morawiecki @MorawieckiM February 18 2018Prime Minister Netanyahu told his Polish counterpart that the distortion regarding Poland could not be corrected by means of another distortionThe two agreed that the countries would continue their dialogue on the matter and that to this end the teams would hopefully meet soon— PM of Israel @IsraeliPM February 18 2018แม้ทำเนียบนายกรัฐมนตรีโปแลนด์ชี้แจงในเวลาต่อมา ว่าคำพูดของโมราวีกกีไม่ใช่ การปฏิเสธ ประวัติศาสตร์ที่เกิดขึ้น แต่นายกรัฐมนตรีเบนจามิน เนทันยาฮู กล่าวว่าการเปรียบเทียบพฤติการณ์ของชาวโปแลนด์กับชาวยิวในช่วงสงครามโลกครั้งที่สองแบบนั้นสะท้อน ทัศนคติที่เลวร้าย และยืนยันว่าการฆ่าล้างเผ่าพันธุ์คือความพยายามทำลายล้างชาวยิวอย่างแท้จริง                                                                  5'
317,'สำนักข่าวต่างประเทศรายงานจากเมืองซิดนีย์ ประเทศออสเตรเลีย เมื่อวันที่ 19 กพ โดยอ้างจากรายงานของหนังสือพิมพ์ ดิ ออสเตรเลียน ไฟแนนเชียล รีวิว ซึ่งสัมภาษณ์แหล่งข่าวในรัฐบาลแคนเบอร์รา ว่าออสเตรเลีย สหรัฐ อินเดีย และญี่ปุ่น กำลังหารือเกี่ยวกับการจัดทำแผนยุทธศาสตร์ส่งเสริมการค้าและวัฒนธรรม เพื่อส่งเสริมความเชื่อมโยงด้านระบบโครงสร้างพื้นฐานระหว่างภูมิภาค ให้เป็นทางเลือก จากนโยบาย หนึ่งแถบหนึ่งเส้นทาง หรือ เส้นทางสายไหมแห่งศตวรรษที่ 21 ของจีนรายงานของดิ ออสเตรเลียน ไฟแนนเชียล รีวิว ระบุด้วยว่า ประเด็นดังกล่าวน่าจะเป็นหนึ่งในหัวข้อของ การหารืออย่างจริงจัง ระหว่างนายกรัฐมนตรีมัลคอล์ม เทิร์นบูล กับประธานาธิบดีโดนัลด์ ทรัมป์ ระหว่างการพบกันที่กรุงวอชิงตัน ในสัปดาห์นี้ด้วย ขณะที่แหล่งข่าวอธิบายเพิ่มเติมอีกว่า แนวคิดนี้คือ การสนับสนุน นโยบายหนึ่งแถบหนึ่งเส้นทาง ของรัฐบาลปักกิ่ง ไม่ใช่การเป็นคู่แข่ง อาทิ ในกรณีที่จีนก่อสร้างท่าเรือ ณ ที่แห่งใดแห่งหนึ่ง สหรัฐและพันธมิตรอาจมอบความสนับสนุนด้านโครงสร้างพื้นฐานด้วยการก่อสร้างถนน หรือเส้นทางรถไฟเข้าสู่ท่าเรือแห่งนั้นด้านกระทรวงการต่างประเทศออสเตรเลียและกระทรวงการต่างประเทศจีนยังสงวนท่าทีต่อรายงานชิ้นนี้ ซึ่งได้รับการเผยแพร่ออกมาราว 1 เดือน หลังรัฐบาลปักกิ่งออกเอกสารนโยบาย เส้นทางสายไหมขั้วโลก ที่เป็นการใช้โอกาสจากภาวะโลกร้อนที่ส่งผลให้ธารน้ำแข็งขั้วโลกละลาย และเป็นการขยายเส้นทางเดินเรือในซีกโลกเหนือระหว่างเอเชียกับยุโรปโดยปริยาย                                                                  5'
318,'สำนักข่าวต่างประเทศรายงานจากกรุงลอนดอน ประเทศสหราชอาณาจักร เมื่อวันที่ 19 กพว่าสถาบันศิลปะภาพยนตร์และโทรทัศน์แห่งอังกฤษ  บาฟต้า  จัดงานประกาศผลรางวัลประจำปีครั้งที่ 71 ที่โรงอุปกรากรแห่งชาติ ในกรุงลอนดอน เมื่อวันอาทิตย์ที่ผ่านมา โดยภาพยนตร์เรื่อง ธรี บิลบอร์ดส เอาด์ไซด์ เอบบิ้ง มิสซูรี ซึ่งได้รับการเสนอชื่อเข้าชิง 9 สาขา กวาดไปมากที่สุด 5 รางวัล ได้แก่ ภาพยนตร์ยอดเยี่ยม นักแสดงนำหญิงยอดเยี่ยม จากฟรานเซส แมคดอร์มานด์ นักแสดงสมทบชายยอดเยี่ยม จากแซม ร็อกเวลล์ บทภาพยนตร์ดั้งเดิมยอดเยี่ยม และภาพยนตร์บริติชยอดเยี่ยม จากการที่ทีมอำนวยการสร้างมาจากสหราชอาณาจักรแซม ร็อกเวลล์ ขณะที่รางวัลนักแสดงนำชายยอดเยี่ยมเป็นของแกรี โอลด์แมน จากการสวมบทบาทเป็นเซอร์ วินสตัน เชอร์ชิล ใน เดอะ ดาร์เกสต์ อาวร์ ด้านอัลลิสัน แจนนีย์ คว้ารางวัลนักแสดงสมทบหญิงยอดเยี่ยม จาก ไอทอนยา และรางวัลผู้กำกับยอดเยี่ยมเป็นของกีเยร์โม เดล โตโร จาก เดอะ เชป ออฟ วอเทอร์แกรี โอลด์แมนอัลลิสัน แจนนีย์ทั้งนี้ เป็นอีกครั้งที่ประเด็นความเท่าเทียมทางเพศ และการต่อต้านการล่วงละเมิดทางเพศในอุตสาหกรรมบันเทิงเป็นหัวข้อที่มีการหยิบยกขึ้นมาพูดถึงบนเวทีการประกาศรางวัล โดยเฉพาะเมื่อธรี บิลบอร์ดส เอาด์ไซด์ เอบบิ้ง มิสซูรี ซึ่งเป็นภาพยนตร์ที่มีมีเนื้อหาสะท้อนความเป็นเฟมินิสต์ หรือแนวคิดสตรีนิยมอย่างชัดเจน เป็นดาวเด่นของงานบาฟต้าในปีนี้ โดยมีการกล่าวถึงแคมเปญ ไทม์ส อัป  Times Up  ที่กลุ่มบุคคลหลากหลายสายงานอาชีพในฮอลลีวู้ดซึ่งเป็นผู้หญิง ไม่ว่าจะเป็นนักแสดง ผู้เขียนบท หรือผู้กำกับ ร่วมกันจัดตั้งขึ้นเพื่อให้ความช่วยเหลือผู้ได้รับผลกระทบจากการถูกคุกคามหรือล่วงละเมิดทางเพศในสังคมขณะเดียวกัน กลุ่มนักแสดงอังกฤษและไอริชเกือบ 200 คน ออกแถลงการณ์ร่วมกันก่อนเริ่มงานบาฟต้า ด้วยการจัดตั้งกองทุนช่วยเหลือผู้หญิงในทุกสาขาอาชีพ ซึ่งตกเป็นเหยื่อของการล่วงละเมิดหรือคุกคามทางเพศ โดยเอ็มมา วัตสั น ประเดิมบริจาคสมทบทุน 1 ล้านปอนด์  ราว 445 ล้านบาท                                                                   5'
319,'สำนักข่าวต่างประเทศรายงานจากกรุงเตหะราน ประเทศอิหร่าน เมื่อวันที่ 19 กพ ว่าสายการบินอาเซมาน แอร์ไลน์ส ออกแถลงการณ์ว่าเที่ยวบินอีพี 7304 ซึ่งประสบอุบัติเหตุตกในเขตเทือกเขาซากรอส ที่อยู่ทางตะวันตกของประเทศ เมื่อช่วงเช้าของวันอาทิตย์ตามเวลาท้องถิ่น เบื้องต้นหลายฝ่ายเชื่อว่า ผู้โดยสาร 59 คน และลูกเรือ 6 คน เสียชีวิต โดยเครื่องบินซึ่งมีกำหนดเดินทางจากกรุงเตหะราน ที่อยู่ทางตะวันตกเฉียงเหนือ ลงไปยังเมืองยาซุจที่อยู่ทางตอนใต้ ขาดการติดต่อหลังออกเดินทางจากสนามบินต้นทางไปได้ประมาณ 45 นาทีทั้งนี้ ภารกิจกู้ภัยและค้นหาผู้สูญหาย รวมถึงการระบุตำแหน่งตกที่ชัดเจนของเครื่องบิน จำเป็นต้องระงับตลอดทั้งวันอาทิตย์ที่ผ่านมา เนื่องจากสภาพแวดล้ออมที่ไม่เป็นใจ ทั้งกระแสลมแรง หมอกหนาจัด และหิมะที่ตกลงมาอย่างต่อเนื่อง ขณะที่แม้สาเหตุของโศกนาฏกรรมครั้งนี้ยังไม่เป็นที่ชัดเจน แต่มีรายงานว่าอาเซมาน แอร์ไลน์ส เคยเปิดเผยข้อมูลเมื่อเดือนตค ปีที่แล้ว ว่าเครื่องบินใบพัดเอทีอาร์72 ที่ต่อมาเป็นอากาศยานลำที่ประสบอุบัติเหตุในครั้งนี้นั้น มีอายุการใช้งานนานกว่า 25 ปี และจอดนิ่งมานานถึง 7 ปีแล้ว ก่อนเข้ารับการตรวจสอบสภาพและซ่อมบำรุงในเวลาต่อมาA plane has crashed in Iran and all 65 passengers are feared to be de pictwittercomC9Gi8h2HT3— NowThis @nowthisnews February 19 2018Another plane crash in Iran Hard not to mention that western sanctions for deces limited Irans ability to buy passenger planes or spare parts 1985 Iranians have died in plane crashes since 1979— Saeed Kamali Dehghan @SaeedKD February 18 2018อย่างไรก็ตาม ไม่ได้ระบุถึง ความจำเป็น ที่ต้องว่างเว้นจากการใช้งานเครื่องบินลำนี้เป็นระยะเวลานาน กระนั้นอิหร่านเพิ่งกลับเข้าสู่อุตสาหกรรมการบินโลกได้อย่างเป็นทางการเมื่อปี 2558 หลังนานาชาติทยอยยกเลิกมาตรการคว่ำบาตรทางเศรษฐกิจต่อรัฐบาลเตหะราน ตามข้อตกลงนิวเคลียร์ โดยนับจากนั้นเป็นต้นมา บริษัทเอทีอาร์ของฝรั่งเศส ขายเครื่องบินหลากหลายรุ่นรวมถึงเอทีอาร์72 ให้แก่อิหร่านแอร์ ซึ่งเป็นสายการบินแห่งชาติของอิหร่านแล้ว 20 ลำ คิดเป็นมูลค่ารวม 536 ล้านดอลลาร์สหรัฐ  ราว 167232 ล้านบาท สำหรับอุบัติเหตุครั้งนี้ถือเป็นครั้งที่ 3 สำหรับอาเซมาน แอร์ไลน์ส ที่ให้บริการมาตั้งแต่ปี 2523 ปัจจุบันเป็นสายการบินขนาดใหญ่อันดับ 3 ของอิหร่าน เน้นให้บริการเส้นทางบินภายในประเทศเป็นหลัก โดยครั้งแรกเกิดขึ้นเมื่อเดือนตค 2537 เป็นเครื่องบินแบบฟ็อกเกอร์ เอฟ28 ตกที่เมืองนาทานซ์ ทางตอนใต้ของกรุงเตหะราน มีผู้เสียชีวิต 66 คน และต่อมาในเดือนสค 2551 เที่ยวบินเช่าเหมาลำของอาเซมาน แอร์ไลน์ส ใช้เครื่องบินโบอิ้ง 737 ตกในคีร์กีซสถาน คร่าชีวิตผู้อยู่บนเครื่องทั้ง 74 คน                                                                   5'
