economic,body_eco
294,'นายคณิศ แสงสุพรรณ เลขาธิการคณะกรรมการนโยบายการพัฒนาระเบียงเศรษฐกิจ พิเศษภาคตะวันออก อีอีซี เปิดเผยว่า ได้เสนอแนวคิดให้กระทรวงการคลัง จัดทำธนาคารที่ดิน หรือแลนด์แบงก์ ขี้นมาเพื่อทำหน้าที่บริหารจัดการที่ดินในเชิงพาณิชย์รองรับการขยายตัวของเมือง รวมถึงให้มีที่ดินเพียงพอรองรับการลงทุนโครงสร้างพื้นฐานของประเทศไม่ว่าจะเป็นโครงการอีอีซี หรือโครงการอื่นๆในอนาคต ตลอดจนเป็นการป้องกันการเก็งกำไรที่ดินของนายทุนที่เข้าไปซื้อที่ดินล่วงหน้าได้ด้วยตอนนี้รัฐบาลมีปัญหาเรื่องที่ดินมาก คิดอยากจะสร้างอะไร พัฒนาอะไรก็มีอุปสรรคหาที่ดินสำหรับก่อสร้างไม่ได้ ซึ่งหลายๆ ประเทศก็มีการสร้างแลนด์แบงก์ขึ้นมา โดยเข้าไปลงทุนซื้อที่ดินมาไว้ เพื่อลงทุนพัฒนาเอง หรือเปิดให้ภาคเอกชนเข้ามาเช่าบางส่วนเพื่อพัฒนาในรูปแบบเชิงพาณิชย์ และบางส่วนก็อาจใช้ประโยชน์ในเชิงสังคม ซึ่งมองว่ามีโอกาสมากเพราะปกติที่ดินจะราคาขึ้นตลอด อย่างประเทศจีนก็ขึ้นมาถึง 20เท่า ดีกว่าปล่อยไปให้นายทุนได้ประโยชน์จากการเก็งกำไร ซึ่งยืนยันว่ารัฐบาลไม่ต้องการให้มีการเก็งกำไรที่ดิน อย่างในโครงการอีอีซที่มีเขตพัฒนาเศรษฐกิจ 22 แห่ง ก็จะเน้นการพัฒนาในพื้นที่นิคมเดิมเป็นหลัก ไม่ได้ไปสร้างนิคมใหม่ให้คนมาเก็งกำไร                                                                  5'
295,'พลตสุรพล ตาปนานนท์ ประธานกรรมการ บอร์ด บริษัท ขนส่ง จำกัด บขส เปิดเผยว่า มีแผนจัดโครงการเช่ารถโดยสารขนาดเล็ก ไมโครบัส ขนาด 8เมตร 20 ที่นั่ง รวม 9 คัน เป็นโครงการทดลองเร่งด่วนซึ่งเป็นโครงการใหม่ เพื่อให้บริการประชาชนใน 2เส้นทาง 1กรุงเทพฯสระบุรี5 คัน และ 2กรุงเทพฯพระนครศรีอยุธยา4 คัน คาดว่าภายใน2 สัปดาห์จะได้ข้อสรุปเรื่องราคากลาง และใช้เวลาไม่เกิน 6เดือน ตั้งเป้าเปิดบริการภายในปี 61และประเมินความพึงพอใจผู้ใช้บริการ เช่น การบริการ ความสะดวกสบายและความปลอดภัย เพื่อนำไปปรับใช้และพัฒนาการจัดเช่ารถไมโครบัส 55คัน ไม่เกิน 21 ที่นั่ง เดินรถนำร่องใน 13เส้นทางต่อไปพลตสุรพล กล่าวต่อว่า โครงการจัดเช่ารถไมโครบัส 55คันนั้น ได้นำร่างรายละเอียดเอกสารประกวดราคาทีโออาร์ ขึ้นเว็บไซต์เพื่อประชาพิจารณ์รับฟังความคิดเห็นจากประชาชนแล้ว 2ครั้ง อยู่ระหว่างปรับราคากลาง เนื่องจากราคากลางที่นำประกาศขึ้นเว็บไซต์อยู่ที่ 2100บาทต่อวันต่อคันนั้น ผู้ประกอบการมองว่าค่อนข้างต่ำ ทำให้ไม่อยากเข้าร่วมประมูล หากปรับราคากลางเพิ่มเป็นประมาณ3000 บาทต่อคันต่อวัน จะทำให้โครงการเดินต่อได้ พลตสุรพล กล่าวอีกว่า ขณะเดียวกันได้ตั้งคณะอนุกรรมการเดินรถเพื่อสำรวจเส้นทางบขสทั้งหมด และพิจารณาว่าจะดำเนินการอย่างไรกับเส้นทางที่มีผู้โดยสารใช้บริการน้อย ตามหลักการแล้วแม้ผู้โดยสารใช้บริการเพียงคนเดียวบขส ก็ยังต้องให้บริการ ไม่ทิ้งประชาชน เพราะ บขสไม่ได้เน้นผลประกอบการอย่างเดียว เน้นให้บริการด้วยจึงต้องอาศัยนำความคุ้มทุนในการเดินรถแต่ละเส้นทางมาเฉลี่ยกัน ปัจจุบันบางเส้นทางก็คุ้มทุนบางเส้นทางก็ไม่คุ้มทุน ในอนาคต บขส อาจต้องปรับเปลี่ยนแนวเส้นทางตามรถไฟความเร็วสูงไฮสปีดหรือศูนย์การขนส่งต่างๆ มากขึ้น รวมทั้งปรับเปลี่ยนจุดจอด หรือใช้วิธีนำรถมารับผู้โดยสารตรงจุดจอดที่ผู้โดยสารต้องการแทนเพราะสถานีขนส่งของ บขส อยู่ค่อนข้างห่างไกลพลตสุรพล กล่าวด้วยว่าสำหรับความคืบหน้าการจัดหารถบัส ความยาว 12 เมตร 314คัน แบ่งเป็น 1 การเช่า 215คัน งบประมาณ 1500 ล้านบาท เช่า 4 ปีขณะนี้บอร์ดเห็นชอบโครงการ และอนุมัติงบประมาณแล้ว คาดว่าจะเปิดประมูลได้ภายในเมยนี้และ 2 การจัดซื้อรถ99 คัน งบประมาณ 670ล้านบาท อยู่ระหว่างส่งเรื่องให้คณะกรรมการสภาพัฒนาสังคมแห่งชาติศสชจากนั้นจะส่งกระทรวงคมนาคมพิจารณา ก่อนเสนอคณะรัฐมนตรี ครมเห็นชอบคาดเปิดประมูลเดือน มิยกคได้รถภายใน 18เดือน จัดซื้อจัดจ้างแบบอิเล็กทรอนิกส์ ebidding มั่นใจว่าการจัดเช่าและจัดซื้อรถใหม่ครั้งนี้ จะทำให้ บขส แข่งขันในตลาดได้เพราะรถที่เลือกใช้มีมาตรฐานสูง ใช้งานหนักป้องกันการเกิดอุบัติเหตุที่ทำให้เกิดความเสียหายต่อรัฐและเมื่อได้รถใหม่มาให้บริการในระบบทั้งหมด จะทำให้รายได้เพิ่มขึ้น 10%และมีกำไร 2 เท่ารายงานข่าวแจ้งว่า โครงการจัดเช่ารถไมโครบัส 55 คัน ที่เตรียมเสนอบอร์ดพิจารณาภายในมีค นั้น มีความล่าช้าในกระบวนการจัดซื้อจัดจ้าง เพราะราคากลางต่ำไม่จูงใจผู้ประกอบการทำให้ บขสต้องเช่าเพิ่มอีก 9 คัน ให้บริการใน 2เส้นทางได้เร็วกว่า โดยจะคัดเลือกด้วยวิธีพิเศษพร้อมเชิญคณะกรรมการคุณธรรมเข้าร่วมสังเกตการณ์เพื่อยืนยันได้ว่าดำเนินการตามกระบวนการอย่างเป็นธรรม และโปร่งใสจริงๆ ทั้งนี้โครงการวิ่งรถไมโครบัสหรือมินิบัสเป็นไปตามนโยบายรัฐบาลพลอประยุทธ์ จันทร์โอชา นายกรัฐมนตรี และกระทรวงคมนาคมคคที่ต้องการให้เปลี่ยนรถตู้เป็นรถไมโครบัสหรือมินินัสเพื่อความปลอดภัยในการเดินทางยิ่งขึ้น วางเป้าหมายให้บริการในเดือนมิย60 หลังเกิดอุบัติเหตุรถตู้ประสานงารถปิกอัพจนไฟลุกท่วมทำให้ผู้โดยสารเสียชีวิตอย่างสยดสยองถึง25ศพเมื่อช่วงปีใหม่ 60 แต่จนถึงขณะนี้ยังไม่มีความคืบหน้าใดๆแม้จะผ่านมาปีกว่าแล้วก็ตาม                                                                   5'
296,'นายอาคม เติมพิทยาไพสิฐ รมว คมนาคม  เปิดเผยว่า เมื่อวันที่ 17 กพที่ผ่านมาได้ลงพื้นที่ตรวจโครงการก่อสร้างโครงข่ายทางหลวงแผ่นดินหมายเลข201 เลย  เชียงคาน  โดยมีนายพิศักดิ์จิตวิริยะวศิน อธิบดีกรมทางหลวงชนบททช นายสราวุธ ทรงศิวิไล ผู้ตรวจราชการกระทรวงคมนาคม และโฆษกกระทรวงฯ นางอัมพวัน วรรณโกผู้ตรวจราชการกระทรวงคมนาคม นายสรพงศ์ไพฑูรย์พงษ์ ผู้ช่วยปลัดกระทรวงคมนาคม และรองโฆษกกระทรวงฯ ร่วมลงพื้นที่ด้วย โครงการดังกล่าวดำเนินการโดยศูนย์สร้างทางหล่มสัก กรมทางหลวง ทล นายอาคม กล่าวว่า ทล มีโครงการขยาย ทางหลวงหมายเลข 201 เลย เชียงคาน  พื้นที่อเมืองและ อเชียงคาน จเลย ระยะทาง 45 กม จาก 2 ช่องจราจรไปกลับเป็น 4ช่องจราจรไปกลับ  โดยปี 61ได้รับงบประมาณ รวม 5 กม ช่วง 1 กมที่ 364+720  367+220ขนาด 4 ช่อง ระยะทาง 25 กม และช่วง 2กมที่ 379+657  382+157 ขนาด 4 ช่อง อีก 25 กม ได้ผลงานก่อสร้างประมาณ 30 % จะแล้วเสร็จเดือนกยนี้ส่วนที่เหลืออีก 11 กม จะขอตั้งงบประมาณ ปี 62และคาดว่าต้นปี 63 เมื่อรวมกับที่ขยายช่องจราจรเสร็จสิ้นไปก่อนแล้ว เส้นทางสาย201 เลยเชียงคานยาว 45 กม  จะเป็น 4ช่องจราจรตลอดสายอำนวยความสะดวก ความรวดเร็วและความปลอดภัยแก่ประชาชนยิ่งขึ้นเพิ่มขีดความสามารถรองรับปริมาณการจราจรได้กว่า25000 คันต่อวัน จากปัจจุบันรองรับปริมาณการจราจรอยู่ที่12000 คันต่อวัน  นายอาคม กล่าวต่อว่า  ได้กำชับให้เสริมอุปกรณ์และเครื่องจักรที่ทันสมัยในการดำเนินการเพื่อให้เสร็จทันตามกำหนด รวมทั้งเน้นย้ำการควบคุมคุณภาพการก่อสร้างให้เป็นตามมาตรฐานอย่างเข้มงวดทุกขั้นตอน การปูยางโดยใช้แอสฟัลต์ผสมยางพารา รวมถึงกำชับให้เกาะกลางเป็นลักษณะเกาะยก หรือวางแบริเออร์แบ่งทิศทางจราจรให้ชัดเจนและจุดกลับรถ ยูเทิร์น ให้มีความปลอดภัยสูงสุด                                                                  5'
297,'นายประสิทธิ์ เดชศิริ รองผู้ว่าการฝ่ายบริหาร การทางพิเศษแห่งประเทศไทยกทพ เปิดเผยว่า อยู่ระหว่างหารือกรมทางหลวงทล เพื่อเตรียมเก็บค่าผ่านทางถนนวงแหวนรอบนอก หรือ ถนนกาญจนาภิเษก  ช่วงวงแหวนด้านใต้สุขสวัสดิ์บางขุนเทียน  ระยะทาง 14 กม ตามมติที่ประชุมคณะรัฐมนตรีครมเดิมที่กำหนดให้การทางพิเศษฯลงทุนก่อสร้างระบบเก็บค่าผ่านทางและบริหารค่าผ่านทางทั้งหมด  และแบ่งรายได้กับทลในฐานะผู้ก่อสร้างโครงการ หลังจากที่ยกเว้นค่าธรรมเนียมให้ประชาชนใช้ฟรีมานาน ทั้งนี้กระทรวงคมนาคมสั่งการให้เร่งสรุปรายละเอียดเรื่องการจัดสรรผลตอบแทนระหว่าง2หน่วยงานพร้อมเร่งรัดติดตั้งด่านเก็บค่าผ่านทาง โดยรถ4ล้อเก็บ 15 บาท เกิน 4 ล้อแต่ไม่เกิน 6 ล้อ 25 บาท และ6 ล้อขึ้นไป35 บาท  จะเริ่มจัดเก็บวันที่ 19 เมยนี้ พร้อมกับการเริ่มต้นเก็บค่าผ่านทางในระบบใหม่ซื่งเป็นระบบปิดที่เก็บตามระยะทางของทางหลวงพิเศษหมายเลข7 หรือมอเตอร์เวย์สาย 7 ช่วง กรุงเทพชลบุรีพัทยา โดยกทพและทลจะเร่งลงนามบันทึกความเข้าใจ MOU เรื่องการร่วมมือบริหารค่าผ่านทางต่อ                                                                  5'
298,'สำนักงานประกันสังคมได้เพิ่มสิทธิประโยชน์ กรณีทันตกรรมให้กับผู้ประกันตน เพียงสังเกตป้ายสติ๊กเกอร์ สถานพยาบาลแห่งนี้ ให้บริการผู้ประกันตน กรณีทันตกรรม ทำฟัน ไม่ต้องสำรองจ่าย  5'
299,'นายสมชัย สัจจพงษ์ ปลัดกระทรวงการคลัง เปิดเผยว่า กระทรวงการคลังเห็นด้วยและสนับสนุนแนวคิดของธนาคารแห่งประะเทศไทย ธปท เรื่องการจัดตั้งแบงก์กิ้ง เอเยนต์ เพราะจะทำให้ประชาชนได้รับความสะดวกและเข้าถึงบริการทางการเงินได้ดีขึ้น ซึ่งเชื่อว่า เมื่อ ธปท มีการออกนโยบายแล้วจะมีการกำหนดคุณสมบัติที่มีความรัดกุม มีข้อจำกัด มีเงื่อนไขที่รอบคอบ ไม่ใช่เปิดให้เอกชนรายใดขอเข้ามาทำธุรกิจได้ง่าย ๆ ซึ่งเรื่องนี้จะเป็นการสนับสนุนให้ประชาชนเข้าถึงระบบการเงินที่ขยายวงกว้างอย่างก้าวกระโดด และง่ายขึ้น ส่วนกรณีที่มีกระแสข่าวว่าร้านสะดวกซื้อเซเว่น อีเลฟเว่น จะเข้ามาขอทำธุรกิจแบงก์กิ้ง เอเย่นต์นั้น ก็ถือว่ามีความเหมาะสม เพราะที่ผ่านมาเซเว่น อีเลฟเว่น มีการเปิดให้บริการรับชำระค่าสาธารณูปโภคอยู่แล้ว อีกทั้งยังเป็นบริษัทที่จดทะเบียนในตลาดหลักทรัพย์ ก็จะมีหลักธรรมาภิบาลในการบริหารที่ดี และยังมีสาขาครอบคลุมทั่วประเทศ จะเป็นการช่วยกระตุ้นการใช้จ่ายของประชาชนให้มีความสะดวกรวดเร็วมากขึ้นนอกจากนี้ การเปิดให้ทำธุรกิจแบงก์กิ้ง เอเย่นต์ก็จะเป็นการเพิ่มการแข่งขันธุรกิจสถาบันการเงิน ช่วยลดปัญหากรณีที่มีการกล่าวว่าธนาคารมีการคิดอัตราดอกเบี้ยเงินกู้สูง หากแบงก์กิ้ง เอเย่นต์ให้อัตราดอกเบี้ยที่ต่ำกว่า ธนาคารต่าง ๆ ก็อาจจะลดดอกเบี้ยลงเพื่อมาแข่งขัน ทำให้ประชาชนมีทางเลือกมากขึ้น ไม่ต้องไปเลือกใช้บริการที่มีดอกเบี้ยสูง ซึ่งเรื่องนี้ธนาคารต่าง ๆ ต้องพร้อมที่จะสู้เพราะธุรกิจเปลี่ยนไปแล้ว ตรงนี้รวมถึงธนาคารของรัฐที่ต้องปรับตัวด้วยเช่นกัน                                                                  5'
300,'ประกันสังคมขยายความคุ้มครอง 4 ด้าน  ปลูกถ่ายเซลล์ต้นกำเนิดเม็ดเลือด stem cell โดยส่งผู้ประกันตนเข้ารับการปลูกถ่ายในสถานพยาบาลที่ทำความตกลงกับสำนักงานประกันสังคม  5'
301,'ผู้สื่อข่าวรายงานจากกระทรวงพาณิชย์ เปิดเผยว่า ในวันที่ 19 กพ 61 นายสมคิด จาตุศรีพิทักษ์ รองนายกรัฐมนตรี จะเดินทางมากระทรวงพาณิชย์ เพื่อมอบหมายนโยบายแก่ผู้อำนวยการสำนักงานส่งเสริมการค้าในต่างประเทศ หรือ ทูตพาณิชย์ทั่วโลกที่จะมาประชุมในการกำหนดแผนและกำหนดเป้าการส่งออกไทยในปี 61 โดยคาดว่า ในเบื้องต้นจะเสนอเป้าหมายการส่งออกปี 61 ขยายตัวประมาณ 657% ให้นายสมคิด รับทราบต่อไปนายสนธิรัตน์ สนธิจิรวงศ์รมวพาณิชย์ กล่าวว่า ในระหว่างวันที่ 1926 กพ 61 จะมีการประชุมทูตพาณิชย์จากทั่วโลก เพื่อรับมอบนโยบายจากนายสมคิด จาตุศรีพิทักษ์ รองนายกรัฐมนตรี ซึ่งจะมีการนำเสนอแผนผลักดันการส่งออกเชิงรุกรายภูมิภาค และในช่วงเวลาดังกล่าวจะมีงานแสดงสินค้าอัญมณีฯครั้งที่ 61 ที่ศูนย์แสดงสินค้าเมืองทองธานีด้วยนายศรพล ตุลยเสถียร ผู้อำนวยการสำนักนโยบายเศรษฐกิจมหภาค สำนักงานเศรษฐกิจการคลัง สศค กล่าว สถานการณ์ค่าเงินบาท ตั้งแต่ต้นปีนี้แข็งค่าขึ้นแล้ว 353% และเงินบาทแข็งค่าขึ้นเมื่อเทียบกับคู่แข็ง 159% ซึ่งถือว่ามากเป็นอันดับสองในเอเชีย รองจากญี่ปุ่น ส่วนประเทศคู่แข่งไทยอื่นๆ เช่น มาเลเซีย เวียดนาม ฟิลิปปินส์ อินโดนีเซีย ค่าเงินอ่อนกว่าไทยมาก ซึ่งทำให้ภาคเอกชนได้รับผลกระทบจากค่าเงินบาทที่แข็งขึ้น โดยเฉพาะกลุ่มเอเอ็มอี แต่ภาพรวมสะท้อนผู้ประกอบการไทยมีความแข็งแกร่งแม้จะเจอกับสถานการณ์ค่าเงินที่กดดัน โดยการส่งออกก็ยังขยายตัวได้เป็นอย่างดีทั้งนี้ ในสถานการณ์ค่าเงินบาทแข็งค่ากระทรวงการคลังยังได้เร่งคืนหนี้สกุลเงินต่างประเทศ ซึ่งแม้จะมีสัดส่วนไม่มาก แต่ก็มีบางส่วนที่เร่งส่งคืนได้ จำนวน 1 พันล้านดอลลาร์ เพื่อลดแรงกดดันจากค่าเงิน ขณะเดียวกันสำนักงานคณะกรรมการนโยบายรัฐวิสาหกิจ สคร ได้เร่งให้รัฐวิสาหกิจที่มีแผนลงทุนเร่งนำเข้าชิ้นส่วน เครื่องจักร อุปกรณ์จากต่างประเทศ โดยปีนี้คาดว่าจะมีการนำเข้าเครื่องจักรและอุปกรณ์จากต่างประเทศ ประมาณ 33 พันล้านดอลลาร์                                                                  5'
302,'เปิดตลาดหุ้นไทยภาคเช้าวันที่ 19 กพ61 ดัชนีอยู่ที่ 181426 จุด เพิ่มขึ้น 837 จุด หรือ 046% ด้วยมูลค่าการซื้อขาย 162916 ล้านบาท ด้านบลฟินันเซีย ไซรัส คาดดัชนีหุ้นไทยวันนี้แกว่งตัวขึ้นได้ต่อ จากปัจจัยสำคัญที่ต้องจับตาเช้านี้คือตัวเลขจีดีพี ไตรมาส 4 ปี 60 ของไทย ซึ่งตลาดคาดโต 44% ซึ่งหากเป็นไปตามคาดเชื่อว่าจะสร้างความมั่นใจต่อแนวโน้มเศรษฐกิจที่ยังแข็งแกร่งในปีนี้ขณะที่ผลประกอบการบริษัทจดทะเบียนไตรมาส 4 ปี 60 จะประกาศหนาแน่นในช่วง 2 สัปดาห์นี้ซึ่งเราเชื่อว่าโดยรวมไม่น่าจะสร้างความผิดหวังกับตลาด และคาดว่าดัชนีจะสามารถปรับตัวขึ้นต่อได้ในระยะถัดไปจาก ปัจจุบันที่อยู่ในนช่วงแกว่งพักฐาน                                                                  5'
303,'นายปรเมธี วิมลศิริ เลขาธิการสำนักงานคณะกรรมการพัฒนาการเศรษฐกิจและสังคมแห่งชาติ สศช แถลงตัวเลขผลิตภัณฑ์มวลรวมภายในประเทศ หรือจีดีพี ไตรมาสสุดท้ายของปี 60 และตัวเลขทั้งปี 60 ว่า เศรษฐกิจไทยไตรมาส 4 ปี 60 ขยายตัว 40% หลังการด้านการใช้จ่ายทั้ง การบริโภคเอกชน การใช้จ่ายรัฐบาล และการส่งออก ขยายตัว แม้ภาคเกษตรจะหดตัวลงจากเหตุการณ์น้ำท่วม ส่งผลให้ทั้งปี 60 เศรษฐกิจไทยขยายตัวได้ตามเป้าหมาย 39% ปรับตัวดีขึ้นจากปีก่อนที่ขยายตัว 33%ส่วนในปี 61 คาดว่าเศรษฐกิจจะขยายตัว 3646% หลังจากเศรษฐกิจโลกมีแนวโน้มปรับตัวดีขึ้นจากที่คาดการณ์ไว้ ส่งผลให้การผลิตภาคอุตสาหกรรมขยายตัวเร่งขึ้น จนช่วยสนับสนุนเศรษฐกิจในภาพรวมได้มากขึ้น เช่นเดียวกับแรงขับเคลื่อนจากการใช้จ่ายภาครัฐที่ยังอยู่ในเกณฑ์ดี รวมถึงการลงทุนภาครัฐมีแนวโน้มเร่งตัวขึ้น                                                                  5'
304,'เมื่อเวลา 1000 นวันที่ 19 กพ ที่บริเวณทางลงทางยกระดับรามคำแหง พลตต จิรพัฒน์ ภูมิจิตร รองผู้บัญชาการตำรวจนครบาล บชน พร้อมด้วย นายวิทยา พันธุ์มงคล ผู้ช่วยผู้ว่าการ การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทยรฟม ในฐานะผู้อำนวยการโครงการ ส่วนที่ 2 และ นายไพรัตน์ พรหมอินทร์ ผู้จัดการโครงการ กิจการร่วมค้าซีเคเอสที ผู้รับจ้างก่อสร้างงานโยธาอุโมงค์ทางวิ่งและสถานีใต้ดิน สัญญาที่ 2 ช่วงรามคำแหง 12  หัวหมาก ร่วมแถลงข่าวปิดทางลงทางยกระดับรามคำแหง ขาเข้า และรูปแบบการจัดจราจรในระหว่างดำเนินงานก่อสร้างสถานีรถไฟฟ้าใต้ดิน สถานีรามคำแหง 12 โครงการรถไฟฟ้าสายสีส้ม ช่วงศูนย์วัฒนธรรมแห่งประเทศไทย  มีนบุรี สุวินทวงศ์ ที่จะเริ่มปิดในวันที่23กพเวลา 2300นเป็นต้นไป นายวิทยา กล่าวว่า ในวันที่23กพเวลา2300น เป็นต้นไป รฟมจะเข้าดำเนินการปิดทางลงสะพานยกระดับรามคำแหงขาเข้า เพื่อดำเนินการก่อสร้างสถานีรถไฟฟ้าใต้ดิน สถานีรามคำแหง 12ในโครงการรถไฟฟ้าสายสีส้ม ช่วงศูนย์วัฒนธรรมแห่งประเทศไทย  มีนบุรี สุวินทวงศ์ โดยมีกิจการร่วมค้า ซีเคเอสที ผู้รับจ้างก่อสร้างงานโยธาอุโมงค์ทางวิ่งและสถานีใต้ดิน สัญญาที่ 2 ช่วงรามคำแหง 12  หัวหมาก เป็นผู้รับผิดชอบ หลังจากปิดทางลงยกระดับรามคำแหง ขาเข้า แล้วนั้นผู้รับเหมาจะทยอยรื้อย้ายสาธารณูปโภค น้ำ ประปา ไฟฟ้า หลังจากนั้นจะเริ่มขุดอุโมงค์เพื่อดำเนินการก่อสร้างกำแพงกั้นดินใช้ระยะเวลาก่อสร้างประมาณ11เดือน หลังจากนั้นจะดำเนินการสร้างภายในอุโมงค์ต่อไป ซึ่งจะใช้เวลาดำเนินการในจุดดังกล่าว 30 เดือน จะแล้วเสร็จ และจะสร้างทางลงสะพานทดแทนและเปิดให้ประชาชนใช้ทางลงยกระดับรามคำแหงขาเข้าได้ประมาณเดือน สค63นายวิทยากล่าวต่อว่าสำหรับสถานีรามคำแหง12 ถือเป็น1ใน4สถานีบนถนนรามคำแหงที่การก่อสร้างค่อนข้างยากเนื่องจากเป็นสถานีใต้ดิน ที่มีเขตการก่อสร้างค่อนข้างน้อยอีกทั้งมีปริมาณจราจรในแต่ละวันค่อนข้างเยอะ โดยตลอดทางมีมหาลัย บริษัทเอกชน ชุมชน อยู่มาก ทำมห้ดารก่อสร้างแต่ละพื้นที่ต้องมีการจัดจราจรที่รัดกุมลดผลกระทบของประชาชนให้น้อยที่สุดด้านพลตต จิรพัฒน์ กล่าวว่า สำหรับการจัดจราจรในช่วงที่มีการปิดทางลงสะพานยกระดับรามคำแหงขาเข้านั้น จะมีการจัดจราจรแบ่งตามช่วงเวลาชั่วโมงเร่งด่วนช่วงเช้าระหว่างเวลา 0530  1000 น สำหรับรถขาเข้าเมืองมุ่งหน้าแยกรามคำแหงสามารถวิ่งขึ้นทางยกระดับจำนวน 2 ช่องทางได้ตามปกติ แต่ช่วงก่อนถึงทางลงประมาณ200เมตร จะต้องเบี่ยงเลนจราจรไปใช้สะพานยกระดับฝั่งขาออก จำนวน2 ช่องจราจร และเบี่ยงเข้าฝั่งขาเข้าบริเวณใต้สะพานยกระดับ และสามารถเบี่ยงเข้าขาเข้าได้อีกจุด บริเวณตีนสะพานทางลงของทางยกระดับไป แต่หากในกรณีที่จราจรคับคั่งติดขัด ตนได้สั่งการให้สนในพื้นที่เปิดให้รถฝั่งขาเข้าวิ่งสวนเลนไปถึงแนกรามคำแหงได้ทันทีโดยที่ไม่ต้องเบี่ยงมาใช้ขาเข้าส่วนรถขาออกให้วิ่งพื้นราบจำนวน2ช่องจราจรแทนพลตต จิรพัฒน์กล่าวต่อว่าส่วนในช่วงเวลาปกติระหว่างเวลา 1000  1630 นและ2000  0530นรถขาเข้าเมือง สามารถใช้ทางยกระดับขาเข้าได้จำนวน2ช่องจราจร แต่บริเวณทางลงสะพาน จะต้องเบี่ยงไปใช้ขาออก 1 ช่องจราจร ส่วนรถขาออกสมารถใช้บนสะพานยกระดับได้ 1 ช่องจราจรและจะสามารถวิ่งได้เป็นเป็นฝั่งละ 2 ช่องทางตามปกติ บริเวณทางยกระดับหน้าการกีฬาแห่งประเทศไทย เป็นต้นไป ส่วนชั่วโมงเร่งด่วนช่วงเย็นระหว่างเวลา 1630  2000 นรถขาออกเมือง มุ่งหน้าแยกลำสาลีมีปริมาณจราจรที่สูงกว่าขาเข้าเมือง ดังนั้นจึงให้รถขาออกสามารถขึ้นสะพานยกระดับได้จำนวน2ช่องจราจร เป็นปกติ ส่วนรถรถขาเข้าเมือง ทางสนจะปิดทางขึ้นทางยกระดับและให้ ใช้ทางราบจำนวน 2 ช่องจราจรเท่านั้น                                                                  5'
305,'ผู้สื่อข่าวรายงานว่า สายการบินนกแอร์ ได้ออกแถลงการณ์ขออภัยในความล่าช้าของเที่ยวบินที่ DD9407ที่มีกำหนดเดินทางจากท่าอากาศยานสกลนครในวันที่ 18 กพ 2561เวลา 1510 น สู่ท่าอากาศยานนานาชาติดอนเมือง เวลา 1635 น มีผู้โดยสารทั้งหมด 84 คน โดยมีความจำเป็นต้องล่าช้า เนื่องจากทางสายการบินต้องปฏิบัติตามขั้นตอนทางด้านความปลอดภัย หลังจากกัปตันของเที่ยวบินดังกล่าวได้พบปัญหาเกี่ยวกับการทำงานของระบบเครื่องยนต์ของเครื่องบินบอมบาร์ดิเอร์ Q400 ซึ่งกัปตันจึงได้ตัดสินใจนำเครื่องกลับลงจอดที่ท่าอากาศยานสกลนครทันทีอย่างปลอดภัย เพื่อทำการตรวจสอบและแก้ไขอย่างละเอียดโดยทีมงานฝ่ายช่างผู้เชี่ยวชาญของสายการบิน อย่างไรก็ตามสายการบินได้ปฏิบัติตามขั้นตอนในการอำนวยความสะดวกแก่ผู้โดยสารทุกท่าน ที่ได้รับผลกระทบจากเหตุการณ์ครั้งนี้ โดยได้ทำการโอนย้ายผู้โดยสารบางส่วนไปยังเที่ยวบินที่ DD9521มีกำหนดออกเดินทางจากท่าอากาศยานนครพนม เวลา 2110 นถึงท่าอากาศยานนานาชาติดอนเมือง เวลา 2220 นในขณะเดียวกันสายการบินได้ให้สิทธิแก่ผู้โดยสารในการเปลี่ยนแปลงวันเดินทางหรือคืนเงินค่าโดยสารในกรณีที่ผู้โดยสารมีความประสงค์จะยกเลิกการเดินทาง ทั้งนี้ สายการบินนกแอร์ปฏิบัติการการบินตามมาตรฐานที่คำนึงถึงความปลอดภัยของผู้โดยสารเป็นอันดับแรกและยังคงมุ่งมั่นในการให้การบริการผู้โดยสารทุกท่านอย่างดีที่สุดต่อไปข่าวที่เกี่ยวข้องสุดระทึกสายการบินดัง ไฟลุกเครื่องยนต์ลงจอดด่วน  5'
306,'ตลาดหุ้นไทยภาคเช้า 19 กพ61 บรรยากาศการลงทุนช่วงเช้าดัชนีอยู่ในแดนบวก ตั้งแต่เปิดตลาด ส่งผลให้ปิดตลาดภาคเช้าที่ ดัชนี 181512 เพิ่มขึ้น 923 จุด หรือ 051% ด้วยมูลค่าการซื้อขาย 2550006 ล้านบาท โดย บลซีไอเอ็มบี มองดัชนีตลาดหุ้นไทยวันนี้แกว่งตัวในกรอบแคบๆ ที่แนวรับ 17961800 จุด และแนวต้านที่ 18101814 จุด ดัชนียังไม่มีปัจจัยหนุนใหม่ ทั้งจากในและนอกประเทศ และตลาดหุ้นสหรัฐวันนี้หยุดทำการ ขณะที่ราคาน้ำมันดิบยังทรงตัว                                                                  5'
